Wall time,Step,Value
1655558351.612429,37,0.0
1655558743.080241,10055,0.0
1655559116.6761527,20081,0.0
1655559455.0191953,30157,0.0
1655559864.7058814,40158,0.0
1655560285.5536454,50180,0.0
1655560693.0872712,60183,0.0
1655561089.5213623,70187,0.0
1655561482.5194874,80215,0.0
1655561807.0489924,90237,0.0
1655562090.0916157,100244,0.0
1655562440.9988022,110346,0.0
1655562791.4549294,120359,0.0
1655563183.0036976,130370,0.0
1655563579.7353904,140385,0.0
1655563980.7390726,150385,0.0
1655564352.8677123,160400,0.0
1655564706.8752968,170448,0.0
1655565063.3757572,180477,0.0
1655565379.7215962,190484,0.0
1655565657.6906717,200663,0.0
1655565942.1592786,210716,0.0
1655566214.7844503,220757,0.0
1655566506.4945343,230761,0.0
1655566792.0759141,240774,0.0
1655567090.8895633,250796,0.0
1655567397.6684456,260811,0.0
1655567665.8097908,270847,0.0
1655567960.5929596,280874,0.0
1655568252.556909,290878,0.0
1655568517.479205,300915,0.0
1655568785.1324902,310933,0.0
1655569070.6525512,320948,0.0
1655569373.9481435,330961,0.0
1655569701.561344,340972,0.0
1655569997.6097233,350973,0.0
1655570385.3812594,360975,0.0
1655570701.003943,370984,0.0
1655571074.253428,381039,0.0
1655571457.4079447,391055,0.0
1655571807.510685,401056,0.0
1655572131.3352325,411110,0.0
1655572419.1520457,421124,0.0
1655572760.1100602,431189,0.0
1655573081.888759,441216,0.0
1655573405.9656796,451389,0.0
1655573655.5324943,461418,0.0
1655573949.1494966,471445,0.0
1655574206.4873195,481555,0.0
1655574462.05435,491632,0.0
1655574735.249392,501642,0.0
1655575016.3417733,511776,0.0
1655575278.5989914,521834,0.0
1655575524.8423061,531844,0.0
1655575810.5882506,541854,0.0
1655576109.9960325,551959,0.0
1655576376.9009125,562009,0.0
1655576678.182507,572139,0.0
1655576944.766241,582159,0.0
1655577212.2188454,592211,0.0
1655577487.5060484,602361,0.0
1655577747.4195976,612508,0.0
1655578013.0334902,622548,0.0
1655578275.9284449,632555,0.0
1655578578.0003653,642625,0.0
1655578891.8824134,652669,0.0
1655579177.990964,662731,0.0
1655579445.9335299,672908,0.0
1655579733.426238,683071,0.0
1655580031.3078003,693090,0.0
1655580318.6621819,703116,0.0
1655580630.756833,713154,0.0
1655580926.8268254,723241,0.0
1655581221.751623,733357,0.0
1655581516.0956929,743397,0.0
1655581804.9743762,753405,0.0
1655582109.3893094,763469,0.0
1655582395.4786983,773482,0.0
1655582703.7910683,783492,0.0
1655582993.0289383,793504,0.0
